scene,item,vector
scene_1,item_2233,"[0.7463899659458085, -0.13489778934938165, -0.08618469875099381, 0.2697955786987633, -0.05433383182127874, 0.3541066970421267, 0.40844052886340554, -0.2023466840240725, -0.03559802774497569, 0.08431111834336355]"
scene_2,item_2234,"[0.3143970964815004, -0.02341254973798406, 0.45821704487197407, 0.3344649962569153, -0.5635735186929023, -0.3612221959574686, -0.13713064846533526, -0.02174022475669949, -0.22576387247341784, -0.24583177224883276]"
scene_0,item_2235,"[-0.22252149172355518, -0.37177371178203744, -0.44504298344711046, 0.13025648296012993, 0.4721797507304708, 0.17910266407017855, 0.206239431353539, 0.38262841869538144, -0.32021385394365265, -0.22523516845189126]"
scene_1,item_2236,"[0.14554597733302888, -0.10968682349735516, 0.5125749636511017, 0.3269511085017316, 0.046405963787342526, -0.10757746150702135, 0.5990588052547856, 0.23202981893671268, 0.39656005418274537, 0.1160149094683564]"
scene_2,item_2237,"[0.3046900512180192, 0.0, -0.48272921389761, 0.0348361288379719, 0.7589299496843867, -0.10699668143091358, -0.08957861701192761, -0.08460202717793165, -0.08460202717793168, -0.2513177866167969]"
scene_0,item_2238,"[0.06922194829933685, 0.5117479749272402, 0.25216566880472707, 0.4697203634597858, -0.20766584489801054, -0.051916461224502664, 0.21013805733727262, 0.06180531098155075, -0.2546378812439891, 0.5389423117591227]"
scene_1,item_2239,"[-0.17887073455038988, 0.21926090041660692, 0.3418739039390516, 0.1817557463979768, 0.7068279026587986, -0.08222283765622757, -0.31879380915835615, 0.3577414691007797, -0.16444567531245521, 0.08366534358002109]"
scene_2,item_2240,"[0.4327104667200252, -0.1857208640347011, 0.11870818113558212, -0.08424451564460665, 0.6854440136538452, 0.01148788849699186, -0.042122257822303354, -0.5150403342817998, 0.14168395812956583, 2.7102501416584456e-17]"
scene_0,item_2241,"[-0.44628017254500174, 0.3737596445064389, -0.04462801725450018, 0.5857427264653148, -0.3653918912712201, 0.11157004313625044, 0.31797462293831374, -0.0976237877442191, 0.19803682656684446, -0.14225180499871928]"
scene_1,item_2242,"[0.39559665039752634, -0.2553586843835885, -0.08163105484393403, -0.3160586995239496, 0.6677001665439731, -0.014651727792500985, -0.2616379962946603, 0.3097793876128779, 0.01674483176285826, -0.24698626850215935]"
scene_2,item_2243,"[-0.5694727463204943, -0.1193380387509859, 0.09630789092184827, -0.1905221320410477, 0.13189993756687918, 0.24286337710726957, 0.3266093692132246, -0.5401616490834099, -0.14236818658012357, -0.3475458672397133]"
scene_0,item_2244,"[0.6654802010860141, -0.3274998442310987, -0.02144344218179813, 0.21053561414856337, 0.08187496105777464, 0.05653271120655865, 0.05848211504126762, 0.23782726783448832, -0.5789729389085494, -0.0019494038347088857]"
scene_1,item_2245,"[0.5450382470662666, -0.20543173826365893, 0.1968720825026731, -0.11983518065380107, 0.5067316210503586, 0.412575407679515, 0.09244428221864648, -0.3355385058306429, -0.09586814452304082, 0.22426298093782762]"
scene_2,item_2246,"[-0.20186165308831985, -0.23550526193637317, -0.11855366927409261, 0.28196548367892293, 0.46940844726093417, -2.2677944856001934e-17, -0.09772667332053579, -0.42294822551838446, 0.5943704229822752, -0.21948449581825247]"
scene_0,item_2247,"[0.12827747178325757, -0.27769297293093775, 0.20445526578431678, 0.3661885357331047, 0.1983521235220984, -0.5065608077641282, 0.2837961151931562, 0.047299352532192654, 0.45163252740416254, -0.38449796251976]"
scene_1,item_2248,"[0.3541042561038246, 0.23810458600084752, -0.4416127791639652, -0.4660337623435393, 0.22589409441106056, -0.10785934237645228, 0.02645606511120525, -0.48027933586495747, 0.18112229191517465, -0.2808413065651023]"
scene_2,item_2249,"[-0.6551187853409213, -0.10732321398076529, 0.08720011135937171, 0.44494415796192266, 0.27725163611697695, 0.07154880932051016, -0.2481849323305197, -0.21464642796153052, 0.2168823282527964, -0.34209274456368927]"
scene_0,item_2250,"[0.36150306414207906, 0.24939135437649743, 0.5880144777500904, -0.06177584007491227, 0.2310874017617087, 0.6131824125954249, -0.12126368607297584, 0.05033586969066927, -0.050335869690669235, -0.09151976307394401]"
scene_1,item_2251,"[0.4830412885295727, 0.3976182421038332, -0.42159522152717993, 0.5994244855836682, -0.07392901988865243, 0.005994244855836661, 0.1278772235911826, 0.00799232647444888, -0.035965469135020134, -0.21978897804734504]"
scene_2,item_2252,"[0.36594703350610064, -0.5887219652096125, 0.22862988940179121, -0.13527268456272643, -0.2591138746553634, -0.09907295207410956, 0.4839332659004581, 0.13908318271942297, 0.2286298894017912, 0.2572086255770151]"
scene_0,item_2253,"[-0.08201585183170619, 0.17829533006892634, 0.06775222542619212, 0.5883745892274572, -0.4386065119695591, -0.20325667627857616, 0.1889930498730621, 0.31379978092131056, 0.3708542865433671, 0.32449750072544614]"
scene_1,item_2254,"[-0.4175479511532383, -0.2444951180681534, 0.0641799684928903, 0.21698941728548615, 0.35451792119882247, -0.07640472439629793, -0.15280944879259586, -0.5440016377016413, -0.19865228343037458, -0.4737092912570472]"
scene_2,item_2255,"[-0.2246353219489199, -0.24886574773904546, 0.23682385671941414, -0.24886574773904538, -0.07425832795439259, -0.23682385671941414, 0.09432814632044463, 0.4515709132361711, -0.46762676792901264, 0.5258292411905636]"
scene_0,item_2256,"[0.4366545957850652, -0.21104972129611485, 0.10006667820074418, 0.007277576596417754, 0.6240521931428225, 0.20377214469969712, 0.22014669204163706, -0.3893503479083498, -0.3511430707771566, 0.02001333564014883]"
scene_1,item_2257,"[0.40173290732127764, 0.18799651188914338, 0.1897869548595162, -0.33660327843008525, 0.14144499465945068, 0.5854748513119037, -0.01969487267410074, -0.11458835010385882, -0.4422394136820801, -0.28647087525964704]"
scene_2,item_2258,"[0.0919489490389035, 0.33937521190722564, 0.04681037405616906, 0.04346677590929985, 0.04012317776243062, 0.4346677590929984, 0.37281119337591784, 0.4263087637258254, -0.359436800788441, 0.4814781331491675]"
scene_0,item_2259,"[0.3516344825508654, -0.35163448255086543, -0.21660684125133312, -0.16597147576400842, 0.25598990329703003, 0.16315839990360156, -0.10408380683505615, 0.45571828938592157, 0.04219613790610382, 0.6048113099874886]"
scene_1,item_2260,"[0.01965929448042549, 0.4092423809912116, -0.25767112877224435, 0.6024957275703947, 0.11367843916422539, -0.005683921958211251, -0.28798537921603773, 0.15914981482991555, 0.3258781922707795, 0.41871558425489697]"
scene_2,item_2261,"[0.18882128403723522, 0.14026723957051757, -0.4181042717967352, 0.21040085935577646, -0.4504736347745469, -0.2940217137151234, 0.5745561928561587, 0.2940217137151233, 0.13756979265569994, -0.02697446914817648]"
scene_0,item_2262,"[0.4609979804872519, -0.3220304537844483, -0.5191521254949287, -0.13076388123368504, 0.08001968851613564, -0.35130594958303446, 0.023420396638868992, 0.38643654454133786, 0.27323796078680457, 0.2068801703100092]"
scene_1,item_2263,"[-0.2455664274160789, 0.14733985644964734, 0.08500376333633503, -0.08689273585492024, 0.08878170837350544, 0.041557395408874875, -0.3305701907524139, -0.5874704532800042, -0.5818035357242485, 0.31734738312231736]"
scene_2,item_2264,"[-0.26659842231390596, 0.5008063821036924, 0.15946073858028012, 0.21178379342693449, 0.012457870201584344, -0.6403345283614376, -0.06727249908855566, -0.13703657221742824, -0.03488203656443637, 0.4160928647329185]"
scene_0,item_2265,"[0.8011369030676166, -0.26341019422722617, -0.2155174316404577, 0.08210187872017438, 0.22578016648047952, 0.11460053904691002, -0.12828418550027246, 0.17104558066702996, -0.354064351980752, -0.020525469680043595]"
scene_1,item_2266,"[0.280122020544653, 0.4032525790258189, -0.16006972602551592, 0.14160014225334097, 0.5171483456208978, -0.14467840621537015, 0.4555830663803146, -0.3909395231777024, -0.2185567413040698, 0.12928708640522432]"
scene_2,item_2267,"[0.09321186318846429, 0.43498869487950026, -0.16363860426419294, 0.2527077179776144, -0.14913898110154294, 0.21542297270222874, 0.588270425456086, -0.4619165664672788, -0.17192410321427865, -0.23199397060240007]"
scene_0,item_2268,"[-0.12838411027707142, -0.20276213143602292, -0.08642320356289494, -0.7578650158592332, 0.17284640712579008, -0.04653557114925114, -0.06980335672387677, 0.28586136563111436, -0.4886234970671372, 0.05650747925266211]"
scene_1,item_2269,"[0.05075872780798504, -0.5512562066142792, 0.4374647878177537, 0.25034112135235614, -0.11632011699200388, 0.007586094586435044, -0.0025286981954783, -0.4829813553363639, 0.4374647878177537, -0.03540177473669681]"
scene_2,item_2270,"[0.6326041064555391, -0.18410150466507955, 0.11359454543164478, -0.1860600313104527, -0.13513833853074986, -0.25656699054388743, 0.34861774287642716, -0.3838712224931444, -0.19585266453731862, -0.35645184945791986]"
scene_0,item_2271,"[0.15617434330557226, -0.21175778400746817, 0.2470507480087128, 0.0, -0.08470311360298725, 0.24705074800871282, -0.5152772744181725, -0.6729191802903988, 0.2399921552084639, -0.15999477013897598]"
scene_1,item_2272,"[-0.20550877570931797, 0.07784423322322648, 0.19928123705145978, -0.5667060178650889, -0.2366464689986085, 0.5542509405493726, 0.14634715845966578, 0.4514965526947137, -0.02179638530250343, -0.04359277060500686]"
scene_2,item_2273,"[0.526416249409103, 0.2552843822012111, -0.42334660048367506, 0.6041730378761995, 0.10424112273216117, -0.1404064102106661, 0.05743898599527246, -0.0021273698516767812, -0.26379386160791807, -0.09998638302880769]"
scene_0,item_2274,"[0.3835188867128773, 0.6904875169045998, 0.3878387676119992, 0.2578118975455486, -0.08743186090675131, -0.05604606468381497, 0.11209212936762988, 0.33851823069024206, -0.14347792559056616, 0.02690211104823116]"
scene_1,item_2275,"[0.3873363421099267, -0.02553391136700187, 0.07660173410100558, 0.3064069364040222, -0.07660173410100556, -0.40068599375910596, 0.4851443159730351, -0.5047857862553442, -0.11392052763739291, 0.2828371720652513]"
scene_2,item_2276,"[0.54112725846566, 0.20478561782606533, 0.25416654694724417, 0.24835702587416425, 0.33695222223863225, -0.521404516308918, -0.19897609675298544, 0.1771903927289359, 0.1670237308510462, 0.2338332231914646]"
scene_0,item_2277,"[0.44535783329572387, 0.011546314196555761, -0.30680206293705414, 0.39092520922624646, 0.16824629257838458, -0.21937996973456028, 0.024742101849762464, 0.5575220283479801, -0.3925746826828973, -0.11216419505225637]"
scene_1,item_2278,"[0.12483333495124227, 0.1430381962982983, -0.15344097421090183, -0.4603229226327057, 0.21325694720837207, -0.03380902821596139, -0.010402777912603446, -0.2704722257276915, 0.27307292020584234, -0.7307951483603973]"
scene_2,item_2279,"[-0.4107370414267998, -0.4535746469743801, -0.14615183069174462, -0.4485349286746648, -0.08819507024501834, 0.24946605583590914, 0.0806354927954454, 0.0050397182997152816, 0.17387028134017904, -0.5442895763692562]"
scene_0,item_2280,"[0.5052642341683959, -0.04396755835034228, -0.6243393285748602, 0.2550118384319851, -0.2931170556689485, -0.3282911023492223, -0.09965979892744245, 0.16707672173130053, -0.2169066211950219, 0.09672862837075302]"
scene_1,item_2281,"[0.6548092646289397, -0.31033285198659677, -0.06795609897516718, 0.3624325278675582, 0.058895285778478225, 0.07475170887268387, 0.12458618145447312, 0.16082943424122895, -0.4734274895269979, 0.25370276950729076]"
scene_2,item_2282,"[-0.18230867053271158, -0.2579000705096896, 0.20009488229200048, -0.06225174115751131, -0.5002372057300013, -0.5069070351397348, 0.3268216410769342, 0.33126819401675645, -0.2378905822804895, -0.2756862822689785]"
scene_0,item_2283,"[0.5500140795485634, -0.23170596294088894, 0.31417757686900194, -0.03534497739776276, 0.00785443942172502, 0.3043595275918456, 0.5242838314001469, -0.3377408951341771, 0.031417757686900194, -0.24741484178433903]"
scene_1,item_2284,"[0.393055007231958, -0.3793238279400119, 0.16820694632634017, -0.28492197030788224, 0.2797727780734024, 0.21798247125964484, -0.4805912752181146, 0.027462358583892215, 0.3055187392458014, -0.3758910331170253]"
scene_2,item_2285,"[-0.12016453618434846, 0.2523455259871318, -0.3701067714477933, 0.2042797115133924, 0.2403290723686969, 0.0961316289474787, 0.6825345655270993, -0.3340574105924888, -0.2932014682898103, -0.11295466401328756]"
scene_0,item_2286,"[-0.3766353257824848, -0.2655088652474554, 0.5491206076708735, 0.43849191381776714, 0.13275443262372771, -0.43648048302043796, -0.15689160219167816, -0.08649152428515594, 0.14683444820503216, -0.1790173409622995]"
scene_1,item_2287,"[0.5259467029265232, 0.39115523583625067, 0.0848288463259339, 0.25919925266257565, -0.09425427369548209, 0.3958679495210247, 0.3558098832004449, -0.30632638951031677, -0.051839850532515164, -0.3275336010918003]"
scene_2,item_2288,"[0.15746124647039444, 0.1553617631841225, -0.2960271433643416, 0.42829459039947293, -0.34641474223486785, -0.3065245597957012, -0.4639858062660957, -0.04828811558425434, 0.43249355697201686, -0.2477390277800873]"
scene_0,item_2289,"[0.2294251137011597, -0.30654279897886044, 0.31618250963857303, -0.04819855329856298, 0.3277501624302281, -0.368236947201021, -0.0963971065971259, 0.4145075583676415, 0.10025299086101093, 0.5629591025272154]"
scene_1,item_2290,"[0.464833835747417, -0.07517351501584445, 0.16572343083038435, -0.32290441677260456, 0.43908166725163683, -0.06321409217241461, -0.4288307333858399, -0.0734650260382116, -0.0546716472842505, -0.5074212263569501]"
scene_2,item_2291,"[-0.12064912649799603, -0.38839102365793243, 0.15205095394267987, 0.49086014479321666, 0.1107327599365169, 0.358641923973495, 0.04958183280739564, 0.4396255842255745, -0.47763832271124457, -0.07602547697133993]"
scene_0,item_2292,"[0.4842837350265824, 0.13803256215733506, -0.01871627961455391, 0.5451116437738825, 0.21055814566373146, -0.3158372184955973, 0.42579536123110145, -0.1590883767237082, -0.2713860544110317, 0.156748841771889]"
scene_1,item_2293,"[0.4386321616490876, -0.3892810238995066, 0.5582546551525891, -0.20105723212392101, -0.21816848592170152, -0.19677941867447588, -0.006416720174167668, 0.19891832539919843, 0.2973080347364364, -0.2994469414611589]"
scene_2,item_2294,"[0.12550003550744918, -0.4407548901440625, -0.41244953022655384, -0.004043622845358328, -0.1880284623091643, 0.16376672523701405, 0.4528857586801376, 0.10109057113395921, 0.2304865021854271, 0.5378018384326634]"
scene_0,item_2295,"[-0.02398818153549179, 0.2030999370004971, -0.23028654274072113, 0.45737466127671006, -0.22868733063835503, -0.4349856918435844, -0.28625896632353526, 0.4541762370719778, 0.2190920580241583, 0.3438306020087155]"
scene_1,item_2296,"[0.6383563748574069, 0.2981954791908027, -0.28694281959869705, -0.02438076244956251, 0.3957185289890527, 0.04125975183772112, 0.4332273942960719, 0.15941267755483166, -0.191295213065798, 0.11252659592105758]"
scene_2,item_2297,"[0.4925955706875919, -0.3018599120038442, 0.16585709450760674, 0.10283139859471623, 0.5904512564470799, 0.07297712158334697, -0.5091812801383527, -0.021561422285988868, 0.04975712835228203, -0.10946568237502047]"
scene_0,item_2298,"[0.7468461697887258, 0.3184812566220523, 0.2005904047232816, 0.44165080338196205, -0.11789085189877076, -0.12140998180619679, -0.26041561314952344, -0.07742085796337186, 0.04750825375025088, -0.028153039259407965]"
scene_1,item_2299,"[0.08288659049804306, -0.4156542562560824, 0.40603262995385825, 0.19820550182581703, -0.3348325953173997, -0.07504868515734821, 0.4156542562560824, 0.3906380278702996, 0.36369747422407206, 0.2020541523467067]"
scene_2,item_2300,"[0.5223628425707426, -0.06770589559615167, 0.27554724951922194, -0.0692804513076901, 0.16532834971153315, -0.02834200280769143, 0.15745557115384107, -0.3731697036346034, -0.4881122705769074, 0.459770267769216]"
scene_0,item_2301,"[-0.017179648715959867, 0.3049387647082876, -0.1825337676070736, 0.04939149005838459, 0.17823885542808354, -0.6700062999224348, 0.504652181031321, -0.06657113877434448, -0.19541850414404344, 0.30493876470828757]"
scene_1,item_2302,"[-0.1827213459014388, 0.3774638329806039, -0.30774121414979166, 0.1899340306080746, -0.5072921577000472, -0.5193132988777734, -0.0961691294218099, 0.37986806121614913, 0.002404228235545273, 0.11299872707062664]"
scene_2,item_2303,"[0.5642843569987548, -0.25677141342853027, 0.013119707255472355, 0.03935912176641698, -0.15743648706566815, 0.33736390085500323, -0.2380289744921412, 0.49854887570794915, -0.1911728771511685, -0.3654775592595868]"
scene_0,item_2304,"[0.03095030564282605, 0.4951498025781478, 0.13058895892170924, 0.4488995462933758, -0.05985327283911679, -0.2666191244651565, 0.26117791784341865, -0.4244141164955553, 0.029926636419558394, 0.45978195953685164]"
scene_1,item_2305,"[0.053873462002566264, -0.1187838788031207, 0.36853459833788726, 0.3137112696595239, -0.041117496508772576, 0.3228484911059178, 0.35178302568616515, -0.6137167071494569, 0.1766529479636154, -0.3335085827933773]"
scene_2,item_2306,"[0.3468387509406223, 0.09711485026337426, 0.14269937181557033, 0.18035615048912357, -0.05351226443083887, 0.4003510153714611, 0.4023329510911218, 0.019819357196607, -0.6619665303666734, 0.23188647920030175]"
scene_0,item_2307,"[0.5446430139722053, 0.5353822437971246, 0.07618087263516396, 0.29837508448772554, -0.3068396258916328, 0.1629424220252119, 0.36820755106995917, 0.06983246658223365, -0.09734222614493175, -0.22642648255451517]"
scene_1,item_2308,"[0.36230013280563855, 0.18650125800982661, -0.6146929218078979, 0.02664303685854667, -0.24359347984956944, 0.20933814674572376, -0.1465367027220066, 0.5385699593549075, -0.2017258505004247, -0.003806148122649509]"
scene_2,item_2309,"[0.6367486914005065, -0.16944754057913297, 0.3624703911518844, -0.10903580872048556, -0.1178765499680925, 0.141451859961711, 0.09282778309987282, 0.32710742616145666, -0.3860457011455029, 0.35215619302967627]"
scene_0,item_2310,"[0.7775440533805758, -0.16620228444561924, -0.2615642509308106, -0.14985451876244363, 0.3405784517328262, 0.027246276138626083, -0.23159334717832183, -0.01907239329703824, -0.2397672300199097, 0.22069483672287143]"
scene_1,item_2311,"[0.4392423606394722, -0.4750818047835021, 0.5608366431920765, 0.2624098055302375, 0.30871741827086774, 0.07717935456771695, -0.11662658023566115, -0.1389228382218905, 0.25211922492120864, -0.01543587091354343]"
scene_2,item_2312,"[-0.5231533992730849, 0.21961729730576598, 0.4249505427542465, 0.12677096023340959, -0.11605792134044549, -0.5249389057552456, 0.005356519446482105, -0.29282306307435474, -0.21426077785928394, 0.24639989453817648]"
scene_0,item_2313,"[-0.2629172359240707, 0.34476882824005484, 0.20338880514880944, -0.09177299744519453, 0.24059407438334762, -0.34724917952235745, -0.07441053846907661, -0.7441053846907659, -0.07689088975137912, -0.13641932052664035]"
scene_1,item_2314,"[0.5150253312526432, -0.07647334701718513, 0.15507095367373644, 0.23579281996965404, 0.681887344236567, -0.21667448321535773, -0.30376912842937404, -0.023366856033028755, 0.11258576088641134, 0.17843780970676518]"
scene_2,item_2315,"[0.5530137557363395, 0.27181103112985094, 0.11073782749734669, 0.09060367704328366, 0.12080490272437815, 0.5486555998732177, 0.17114027885953575, 0.24664334306227223, 0.4026830090812607, 0.1786905852798094]"
scene_0,item_2316,"[-0.12588417681291214, -0.20623577903391993, 0.09374353592450901, 0.11784901659081133, 0.4338986519934419, -0.01874870718490178, 0.18480868510831783, 0.8142295691728787, 0.166059977923416, 0.07499482873960728]"
scene_1,item_2317,"[-0.4567967991369938, 0.14055286127292116, 0.08108818919591605, 0.4892320748153603, -0.24056162794788435, 0.021623517118910952, 0.5703202640112763, 0.29191748110529786, 0.12974110271346576, -0.20001753334992628]"
scene_2,item_2318,"[0.5056317920444308, 0.0034871158072029094, -0.006974231614405966, -0.1534330955169307, -0.11507482163769803, 0.18133002197455445, 0.6730133507901734, 0.13251040067371286, 0.44983793912918324, -0.0418453896864356]"
scene_0,item_2319,"[0.6692493615268886, -0.10465785650750718, 0.31397356952252153, -0.07549091289066097, 0.061765292365086204, -0.17500166170107764, -0.33113059517948995, 0.5044165543148706, 0.0377454564453305, -0.192158687358046]"
scene_1,item_2320,"[0.42835239411236437, -0.4206124757134677, 0.05469848338874691, -0.07733233858409051, 0.71108028405371, -0.2584031801468389, 0.18861545996119627, -0.011316927597671736, 0.037723091992239256, -0.14523390417012114]"
scene_2,item_2321,"[0.2063830307296389, -0.3818154216194862, 0.1028635154134689, -0.338229186274796, -0.2702346591370793, 0.3242815909644951, 0.13250215544785823, 0.31207744506798185, 0.6241548901359637, 0.06276417889635388]"
scene_0,item_2322,"[0.56314923126074, -0.056197449999268886, -0.3246963777735532, 0.13112738333162718, 0.17483651110883625, 0.1873248333308961, -0.13737154444265712, -0.31220805555149345, 0.47455624443826994, 0.38713798888385187]"
scene_1,item_2323,"[0.17706836507973872, 0.3904365414088253, -0.4332893325390622, 0.283304563583233, 0.3380609078052024, 0.4094822263555973, 0.04285279113023694, 0.1214162415356713, 0.10713197782559233, -0.4880456767610316]"
scene_2,item_2324,"[0.22676935127455058, -0.05137743114814036, 0.2976347735478476, 0.37558673804847437, 0.23739916461554514, -0.6803080538236518, 0.3596420180369826, -0.06023560893230246, -0.17184864901274535, 0.18602173346740478]"
scene_0,item_2325,"[-0.5628845164754075, -0.13610043532688956, -0.409981558268655, -0.31588743014142273, 0.3914987831008058, -0.31252692556545014, 0.19490926540640977, -0.04200630719965727, -0.19995002227036862, 0.2570786000619026]"
scene_1,item_2326,"[0.6819513620608817, 0.29735475356779745, 0.3357883611717985, -0.050570536321054044, 0.18609957366147872, -0.3762447902286417, 0.11934646571768738, 0.35601657570022005, -0.016182571622737306, 0.11732364426484522]"
scene_2,item_2327,"[0.4936623254175819, 0.23378892628362807, 0.27149681761969713, 0.11815139285301633, 0.3393710220246214, 0.24133050455084185, -0.03770789133606905, -0.032680172491259894, -0.06536034498251969, -0.6586311686700058]"
scene_0,item_2328,"[0.5546044942940744, 0.3725587442586149, 0.41489496519709385, 0.4318294535724854, -0.24978370353702592, -0.04021940989155512, -0.1735785058477638, 0.2582509477247216, 0.1693448837539159, 0.07408838664233817]"
scene_1,item_2329,"[0.38003964138258084, 0.1468679092195631, 0.28919351196841814, 0.037852553922567804, -0.23619993647682316, 0.17866405451452005, 0.4088075823637323, -0.31493324863576416, 0.21500250628018516, -0.5904998411920578]"
scene_2,item_2330,"[-0.439107022750826, -0.04852011301114103, -0.09218821472116791, -0.08005818646838267, 0.5628333109292355, -0.012130028252785205, 0.3687528588846716, -0.3711788645352286, 0.06550215256504031, -0.4415330284013831]"
scene_0,item_2331,"[0.7229167977610187, -0.15887055076492165, 0.03487402333864129, 0.3642397993146984, 0.0, 0.2789921867091306, -0.07168549241831827, -0.47273676081269367, -0.10655951575695961, 0.021311903151391906]"
scene_1,item_2332,"[0.4343361435410729, -0.1600185791993427, 0.22669298719906877, 0.19430827474205897, 0.48386570376944094, -0.37147170171275984, -0.10477406971385533, 0.1790684100564073, -0.5200603823978637, -0.10477406971385533]"
scene_2,item_2333,"[-0.34034864526697656, -0.2681534780891331, 0.14696873318346723, -0.09024395897230444, 0.5930317303894289, -0.43574940189484124, -0.01804879179446089, -0.1727527214612684, 0.15212553083902738, 0.43317100306706113]"
scene_0,item_2334,"[-0.15334926965312176, -0.052363165247407445, 0.4619179220039155, 0.4469570176475133, 0.2337641305687831, -0.21880322621238102, 0.2861272958161905, -0.374022608910053, -0.46004780895936515, -0.1570894957422223]"
scene_1,item_2335,"[0.6283130599648454, -0.11326006188449204, -0.4756922599148665, -0.26049814233433166, 0.29221095966198946, 0.16535969035135836, -0.17895089777749745, 0.37375820421882366, -0.11099486064680225, 0.03850842104072725]"
scene_2,item_2336,"[0.5795436986734614, 0.06477900607834619, -0.055781921900798115, 0.45525245938393294, 0.34008978191131745, 0.21952885393217317, -0.14035451316975006, 0.3130985293786733, -0.11876151114363472, 0.3922728701410964]"
scene_0,item_2337,"[0.1859428229559217, 0.05543520759859957, 0.009239201266433314, 0.35724911563541933, 0.6898603612270168, 0.13242855148554333, 0.4188437907449744, -0.35724911563541933, -0.15398668777388763, -0.12010961646363233]"
scene_1,item_2338,"[-0.3292029939412847, -0.021554957936631716, 0.11561295620557022, -0.2135900377357145, 0.7309090282148762, -0.49772357417313284, 0.08621983174652698, -0.17831828838486255, 0.03723129098145483, -0.09797708153014426]"
scene_2,item_2339,"[0.48491118761094393, 0.39260561031195934, -0.24614134118003672, -0.5166933938820605, -0.13629313933109471, 0.47600887467874853, -0.13019046145059787, 0.016273807681324682, -0.040684519203311904, -0.13832736529126025]"
scene_0,item_2340,"[-0.25921478831445544, 0.07776443649433654, 0.294856821707693, 0.09720554561792072, -0.49574828265139587, -0.21709238521335647, -0.3985427370334753, -0.1749699821122574, -0.5897136434153862, -0.0162009242696535]"
scene_1,item_2341,"[-0.049730119288710066, 0.3548922149239765, 0.16275311767214207, 0.3209853154089468, -0.07685563890073377, -0.16727403760747944, -0.7708168489750062, 0.07233471896539645, 0.3006411756999292, -0.1356275980601184]"
scene_2,item_2342,"[0.09074667194353013, 0.15376994263723287, -0.09834124238427683, 0.5703792058288057, -0.6722964933906926, -0.13767773933798755, 0.2395950268998745, 0.09297717461786169, 0.03933649695371075, -0.3075398852744658]"
scene_0,item_2343,"[0.7844102579580492, -0.1513846578543599, 0.22287185739669657, -0.1303590109301433, 0.38056420932832147, 0.1534872225467816, 0.018923082231794983, -0.08200002300444496, 0.29225649224661154, 0.18502569293310658]"
scene_1,item_2344,"[0.09867165750782568, 0.6869781437808994, -0.18431120930707057, 0.27739767865407594, 0.39468663003130267, -0.46357061734808663, -0.007446917547760401, -0.0856395517992449, 0.1712791035984898, -0.0018617293869401265]"
scene_2,item_2345,"[0.3212289250870482, 0.5066147724009666, -0.07990769280772347, 0.3723698484839912, 0.2956584633885767, -0.45867015671633254, -0.15821723175929242, -0.4123236948878529, 0.030364923266934934, 0.03675753869155274]"
scene_0,item_2346,"[0.42740044427721324, 0.06048683811928074, 0.1831407043056, 0.4486107160513322, 0.32931722976052846, -0.35115969908137984, 0.23858697258160738, -0.4973362245363083, 0.20666336357420917, 0.011761329634304594]"
scene_1,item_2347,"[-0.39304250851184447, -0.018716309929135463, 0.32352478591791284, -0.0267375856130507, 0.3048084759887773, -0.6203119862227751, -0.3582836472148786, -0.11764537669742288, 0.1737943064848292, 0.29946095886616714]"
scene_2,item_2348,"[0.008029635868736198, -0.018066680704656474, -0.2549409388323752, -0.12646676493259557, -0.3693632499618664, -0.11040749319512308, -0.17263717117782884, -0.012044453803104324, 0.6002152811880328, 0.6162745529255054]"
scene_0,item_2349,"[0.4644502298047842, 0.24791897330340795, -0.3102985859410397, 0.3598823806017213, 0.40626722076816535, 0.09756811207424439, 0.2719111320101894, 0.0463848401664441, -0.48464160587698457, -0.10716497555695702]"
scene_1,item_2350,"[0.1795172390064063, -0.5489887657986613, 0.3214611024068207, 0.24213953168305968, 0.5656880438457689, 0.22126543412417518, -0.01252445853533066, -0.3569470682569243, -0.07723416096787246, -0.043835604873657355]"
scene_2,item_2351,"[0.1803632174489308, 0.1277184310007072, 0.06385921550035359, 0.7790824291043145, -0.3363252016351958, 0.034058248266855266, -0.07450241808374591, 0.11494658790063648, -0.3065242344016974, -0.3363252016351958]"
scene_0,item_2352,"[-0.08309426111246003, 0.10106058783947847, 0.17741747642930672, -0.40873393303966843, -0.3031817635184354, 0.20885854820158886, 0.029195280931404884, -0.03368686261315953, -0.6310672262865211, 0.4985655666747605]"
scene_1,item_2353,"[0.6473914510922169, -0.12867292132917432, 0.31019364963283097, -0.23207080454011791, 0.4940121086745084, 0.31019364963283086, -0.26194130413439043, 0.04595461476041939, -0.036763691808335476, 0.04365688402239843]"
scene_2,item_2354,"[0.013825188252862707, -0.13353544323485383, 0.6976545605739303, 0.2043909845431436, 0.31884993588730415, -0.16351278763451488, -0.06813032818104792, -0.46056101850388376, 0.15261193512554722, -0.29159780461488494]"
scene_0,item_2355,"[0.36248906928888636, 0.10635288362608272, 0.028360768966955368, 0.5270376233025879, 0.1347136525930381, 0.5719421741669338, 0.21034236983825264, 0.39705076553737556, 0.01181698706956471, 0.1772548060434713]"
